video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/jJy7mT3z0CI,/@jayxnina,Jay x Nina,What I wish I knew about European train travel ! #eurail #backpackingeurope,35K,1 year,We have a love-hate relationship with eurail. Love the flexibility and how much money it saved us on trains BUT Hate... well ...,2024-01-25 20:37:59.768130
/shorts/0lGzzSWG3lE,/@priyanshibailwal98,Priyanshi Bailwal,How to travel affordably in Europe by public transportation🤔 #europe #tram #youtubeshorts #spain,488,2 months,How to travel affordably in Europe by public transportation   #europe #tram #youtubeshorts #spain.,2024-01-25 20:37:59.770648
/watch?v=zysL_lkdtys&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@OBFYT,OBF,Why Tokyo Is Insanely Well Designed,8.7M,2 years,Why Tokyo Is Insanely Well Designed Support me on Patreon: https://www.patreon.com/oliverbahl Follow me on Twitter: ...,2024-01-25 20:37:59.775617
/watch?v=raF0-wkJrqU&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@loveandlondon,Love and London,What to know about every public transport in London 🚇 Train vs boat vs bike vs cable Car,107K,1 year,Going to be using public transportation in London? In this video I give you the rundown of each public transportation option in ...,2024-01-25 20:37:59.778508
/watch?v=jDPw96b5Dqc&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@song5982,SongChen颂颂,First time taking public transportation in Europe experiences,4,4 weeks,It was very different and took me a while to get used to it. No one ever checked my ticket.,2024-01-25 20:37:59.785736
/shorts/4k7rkbSZq3I,/@SiliconValleyGirl,Silicon Valley Girl,Something is wrong with US public transport,1.1M,1 year,... I decided to find out what's wrong with public transport in the US. ⭐ ENROLL IN MY YOUTUBE COURSE - https://bit.ly/3317IOY ...,2024-01-25 20:37:59.789020
/watch?v=NUMx6taaOws&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@BrightTripTravel,Bright Trip,How the Paris Metro Works | Getting around Paris,125K,1 year,The Paris Metro is the second busiest Metro in Europe and the densest subway system in the world. Here's everything you need to ...,2024-01-25 20:37:59.795053
/watch?v=sGUk-GypkNs&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@alanthefisher,Alan Fisher,Why Light Rail is better than Bus Rapid Transit,502K,5 years,"I hope you enjoyed the meme at the end, that took way to long to make. The last episode of Armchair Urbanist can be found here: ...",2024-01-25 20:37:59.797892
/shorts/nI6Tw8tqxKQ,/@thebongrovers,theBongRovers,Lisbon Public Transportation #shorts,1.2K,8 months,4 Major types of public transportation in Lisbon #tram #lisbontram #taxi #metro #bus #portugal #lisbon #lisboa     #lisboa ...,2024-01-25 20:37:59.802856
/watch?v=U7-9LNjfpQc&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@ibx2cat,ibx2cat,The Future Of European Public Transport - S Trains,21K,5 years,"Weird trend, and one that's harder to get excited about, but it's happening in a majority of European countries right now (there are ...",2024-01-25 20:37:59.805802
/watch?v=SIoaM7bh-Iw&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@RideWithVia,Via,The Transportation Technology Changing the Face of Public Transit,1.1K,10 months,Via's TransitTech solutions help cities build strong communities and drive economic development by improving access for riders ...,2024-01-25 20:37:59.808367
/watch?v=XlNDuuoxygY&pp=ygUccHVibGljIHRyYW5zcG9ydGF0aW9uIGV1cm9wZQ%3D%3D,/@europayeapi,Europaye Api - යුරෝපයේ අපි,යුරෝපයේ 🇪🇺 පොදු ප්‍රවාහනය 🚌🚋🚄 | Public Transportation in Europe -Teaser,8.4K,3 years,This is the teaser of our upcoming video series on Public Transportation in Europe. In this video series you will able to know about ...,2024-01-25 20:37:59.811123
